"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"21","岐阜県","21201","岐阜市","212010344002","室津町二丁目","35.413062","136.749942","1","3"
"21","岐阜県","21201","岐阜市","212010345001","元宮町一丁目","35.416925","136.748014","1","3"
"21","岐阜県","21201","岐阜市","212010345002","元宮町二丁目","35.416292","136.747800","1","3"
"21","岐阜県","21201","岐阜市","212010345003","元宮町三丁目","35.416044","136.748128","1","3"
"21","岐阜県","21201","岐阜市","212010345004","元宮町四丁目","35.415654","136.748238","1","3"
"21","岐阜県","21201","岐阜市","212010346001","葭町一丁目","35.412666","136.744804","1","3"
"21","岐阜県","21201","岐阜市","212010346002","葭町二丁目","35.412381","136.744034","1","3"
"21","岐阜県","21201","岐阜市","212010346003","葭町三丁目","35.411917","136.742548","1","3"
"21","岐阜県","21201","岐阜市","212010346004","葭町四丁目","35.411496","136.741309","1","3"
"21","岐阜県","21201","岐阜市","212010346005","葭町五丁目","35.411076","136.740093","1","3"
"21","岐阜県","21201","岐阜市","212010346006","葭町六丁目","35.410645","136.738641","1","3"
"21","岐阜県","21201","岐阜市","212010346007","葭町七丁目","35.410283","136.737159","1","3"
"21","岐阜県","21201","岐阜市","212010347001","香蘭一丁目","35.411681","136.746150","1","3"
"21","岐阜県","21201","岐阜市","212010347003","香蘭三丁目","35.409763","136.741079","1","3"
"21","岐阜県","21201","岐阜市","212010348000","梅園町","35.416787","136.734148","1","1"
"21","岐阜県","21201","岐阜市","212010349000","大池町","35.416231","136.738555","1","1"
"21","岐阜県","21201","岐阜市","212010350001","香取町一丁目","35.414691","136.736381","1","3"
"21","岐阜県","21201","岐阜市","212010350002","香取町二丁目","35.413741","136.731722","1","3"
"21","岐阜県","21201","岐阜市","212010350003","香取町三丁目","35.413112","136.729296","1","3"
"21","岐阜県","21201","岐阜市","212010351000","菊井町","35.413936","136.729759","1","1"
"21","岐阜県","21201","岐阜市","212010352000","久保見町","35.409370","136.743945","1","1"
"21","岐阜県","21201","岐阜市","212010353000","熊野町","35.416747","136.735451","1","1"
"21","岐阜県","21201","岐阜市","212010354000","権現町","35.415055","136.730272","1","1"
"21","岐阜県","21201","岐阜市","212010355000","島田東町","35.416708","136.741938","1","1"
"21","岐阜県","21201","岐阜市","212010356000","島田中町","35.416359","136.741061","1","1"
"21","岐阜県","21201","岐阜市","212010357000","島田西町","35.416938","136.739467","1","1"
"21","岐阜県","21201","岐阜市","212010358000","新興町","35.415876","136.735936","1","1"
"21","岐阜県","21201","岐阜市","212010359000","富沢町","35.415326","136.735600","1","1"
"21","岐阜県","21201","岐阜市","212010360000","豊岡町","35.415993","136.734174","1","1"
"21","岐阜県","21201","岐阜市","212010361000","雲雀ケ丘","35.414878","136.731764","1","1"
"21","岐阜県","21201","岐阜市","212010362000","本荘","35.409958","136.735738","1","1"
"21","岐阜県","21201","岐阜市","212010363000","本荘町","35.411602","136.734207","1","1"
"21","岐阜県","21201","岐阜市","212010364001","本荘中ノ町一丁目","35.407046","136.734493","1","3"
"21","岐阜県","21201","岐阜市","212010364002","本荘中ノ町二丁目","35.405820","136.735103","1","3"
"21","岐阜県","21201","岐阜市","212010364003","本荘中ノ町三丁目","35.404422","136.735315","1","3"
"21","岐阜県","21201","岐阜市","212010364004","本荘中ノ町四丁目","35.403230","136.735161","1","3"
"21","岐阜県","21201","岐阜市","212010364005","本荘中ノ町五丁目","35.405518","136.733423","1","3"
"21","岐阜県","21201","岐阜市","212010364006","本荘中ノ町六丁目","35.403681","136.733354","1","3"
"21","岐阜県","21201","岐阜市","212010364007","本荘中ノ町七丁目","35.402850","136.733991","1","3"
"21","岐阜県","21201","岐阜市","212010364008","本荘中ノ町八丁目","35.406194","136.731677","1","3"
"21","岐阜県","21201","岐阜市","212010364009","本荘中ノ町九丁目","35.404231","136.732028","1","3"
"21","岐阜県","21201","岐阜市","212010364010","本荘中ノ町十丁目","35.402584","136.732143","1","3"
"21","岐阜県","21201","岐阜市","212010365003","三歳町三丁目","35.410428","136.741478","1","3"
"21","岐阜県","21201","岐阜市","212010365004","三歳町四丁目","35.410211","136.740530","1","3"
"21","岐阜県","21201","岐阜市","212010365005","三歳町五丁目","35.409654","136.738955","1","3"
"21","岐阜県","21201","岐阜市","212010366000","三ツ又町","35.409194","136.742282","1","1"
"21","岐阜県","21201","岐阜市","212010367000","瑞穂町","35.414968","136.736252","1","1"
"21","岐阜県","21201","岐阜市","212010368001","本荘西一丁目","35.411079","136.734142","1","3"
